"dod_nbr","dod_so","dod_line","dod_part","dod_qty","do_um","do_status","SPB Create Date"
"10101681","10101326","1","222-6246-1LT","12.00","EA","2","2021-02-17"
"10101681","10101326","2","222-0001-1LT","30.00","EA","2","2021-02-17"
"10101681","10101326","3","222-2179-1LT","6.00","EA","2","2021-02-17"
"10101682","10101322","1","083-0020-0.9LT","15.00","EA","2","2021-02-17"
"10101682","10101322","2","222-2102-1LT","12.00","EA","2","2021-02-17"
"10101683","10101324","1","245-0013-1LT","51.00","EA","2","2021-02-17"
"10101683","10101324","2","245-3228-1LT","30.00","EA","2","2021-02-17"
"10101684","10101330","1","245-1258-1LT","12.00","EA","2","2021-02-17"
"10101684","10101330","2","245-2409-1LT","30.00","EA","2","2021-02-17"
"10101685","10101331","1","292-B001-2.5LT","8.00","EA","2","2021-02-17"
"10101686","10101332","1","980-8764-1LT","6.00","EA","2","2021-02-17"
"10101686","10101332","2","980-0099-1LT","6.00","EA","2","2021-02-17"
"10101687","10101335","1","292-C001-2.5LT","4.00","EA","2","2021-02-17"
"10101687","10101335","2","292-D001-2.5LT","2.00","EA","2","2021-02-17"
"10101687","10101335","3","268-D001-2.5LT","2.00","EA","2","2021-02-17"
"10101687","10101335","4","281-C001-25KG","1.00","EA","2","2021-02-17"
"10101688","10101346","1","281-C001-5KG","4.00","EA","2","2021-02-17"
"10101688","10101346","2","268-B001-2.5LT","8.00","EA","2","2021-02-17"
"10101688","10101346","3","534-0001-1LTSET","6.00","EA","2","2021-02-17"
"10101688","10101346","5","083-2814-3.785LT","8.00","EA","2","2021-02-17"
"10101688","10101346","6","083-8722-0.9LT","12.00","EA","2","2021-02-17"
"10101688","10101346","7","980-8004-1LT","12.00","EA","2","2021-02-17"
"10101689","10101348","1","222-0001-1LT","18.00","EA","2","2021-02-17"
"10101690","10101350","1","245-0001-1LT","6.00","EA","2","2021-02-17"
"10101690","10101350","2","245-2651-1LT","3.00","EA","2","2021-02-17"
"10101690","10101350","3","534-0001-1LTSET","6.00","EA","2","2021-02-17"
"10101690","10101350","4","534-0620-1LTSET","6.00","EA","2","2021-02-17"
"10101691","10101353","1","534-0620-1LTSET","12.00","EA","2","2021-02-17"
"10101691","10101353","2","534-0001-1LTSET","6.00","EA","2","2021-02-17"
"10101691","10101353","3","798-0077-5LT","2.00","EA","2","2021-02-17"
"10101692","10101358","1","281-2290-25KG","4.00","EA","2","2021-02-17"
"10101692","10101358","2","292-A001-2.5LT","4.00","EA","2","2021-02-17"
"10101693","10101360","1","534-0620-1LTSET","30.00","EA","2","2021-02-17"
"10101694","10101361","1","222-0020-1LT","12.00","EA","2","2021-02-17"
"10101695","10101362","1","292-A001-20LT","5.00","EA","2","2021-02-17"
"10101696","10101325","1","222-2261-1LT","6.00","EA","2","2021-02-17"
"10101696","10101325","2","222-2833-1LT","12.00","EA","2","2021-02-17"
"10101696","10101325","3","105-0001-0.9LTSET","60.00","EA","2","2021-02-17"
"10101696","10101325","4","105-0104-0.9LTSET","48.00","EA","2","2021-02-17"
"10101696","10101325","5","105-5342-0.9LTSET","12.00","EA","2","2021-02-17"
"10101696","10101325","6","105-4660-0.9LTSET","60.00","EA","2","2021-02-17"
"10101696","10101325","7","105-3562-0.9LTSET","30.00","EA","2","2021-02-17"
"10101696","10101325","8","105-0404-0.9LTSET","18.00","EA","2","2021-02-17"
"10101697","10101327","1","534-0001-1LTSET","36.00","EA","2","2021-02-17"
"10101697","10101327","2","222-0020-1LT","6.00","EA","2","2021-02-17"
"10101697","10101327","4","222-0001-1LT","6.00","EA","2","2021-02-17"
"10101698","10101338","1","799-ARB1-1LT","1.00","EA","2","2021-02-17"
"10101698","10101338","2","799-AMX1-1LT","1.00","EA","2","2021-02-17"
"10101698","10101338","3","799-AYB2-1LT","1.00","EA","2","2021-02-17"
"10101699","10101341","1","245-2515-1LT","30.00","EA","2","2021-02-17"
"10101699","10101341","2","245-4401-1LT","36.00","EA","2","2021-02-17"
"10101700","10101333","1","222-7314-1LT","18.00","EA","2","2021-02-17"
"10101700","10101333","2","222-6237-1LT","12.00","EA","2","2021-02-17"
"10101700","10101333","4","222-0020-1LT","36.00","EA","2","2021-02-17"
"10101700","10101333","5","222-1317-1LT","6.00","EA","2","2021-02-17"
"10101700","10101333","6","222-1187-1LT","3.00","EA","2","2021-02-17"
"10101700","10101333","7","222-3168-1LT","3.00","EA","2","2021-02-17"
"10101700","10101333","8","222-9405-1LT","3.00","EA","2","2021-02-17"
"10101700","10101333","9","534-0620-1LTSET","150.00","EA","2","2021-02-17"
"10101700","10101333","10","534-0001-1LTSET","30.00","EA","2","2021-02-17"
"10101700","10101333","11","245-0001-1LT","30.00","EA","2","2021-02-17"
"10101701","10101334","1","222-2833-1LT","30.00","EA","2","2021-02-17"
"10101701","10101334","2","222-6621-1LT","30.00","EA","2","2021-02-17"
"10101702","10101364","1","281-A001-25KG","3.00","EA","2","2021-02-17"
"10101703","10101367","1","083-0001-0.9LT","12.00","EA","2","2021-02-17"
"10101703","10101367","2","083-2814-0.9LT","12.00","EA","2","2021-02-17"
"10101703","10101367","3","273-1211-3.785LT","4.00","EA","2","2021-02-17"
"10101704","10101323","1","327-0002-1LT","6.00","EA","2","2021-02-17"
"10101705","10101347","1","245-0001-1LT","6.00","EA","2","2021-02-17"
"10101705","10101347","2","245-0020-1LT","3.00","EA","2","2021-02-17"
"10101705","10101347","3","245-1624-1LT","2.00","EA","2","2021-02-17"
"10101705","10101347","4","245-0006-1LT","2.00","EA","2","2021-02-17"
"10101705","10101347","5","245-8479-1LT","2.00","EA","2","2021-02-17"
"10101705","10101347","6","245-1542-1LT","2.00","EA","2","2021-02-17"
"10101705","10101347","7","245-4562-1LT","2.00","EA","2","2021-02-17"
"10101705","10101347","8","430-5040-1LTSET","2.00","EA","2","2021-02-17"
"10101706","10101329","1","327-2168-1LT","1.00","EA","2","2021-02-17"
"10101706","10101329","2","327-3809-1LT","3.00","EA","2","2021-02-17"
"10101706","10101329","3","327-0020-1LT","1.00","EA","2","2021-02-17"
"10101706","10101329","4","327-0002-1LT","2.00","EA","2","2021-02-17"
"10101706","10101329","5","327-6017-1LT","1.00","EA","2","2021-02-17"
"10101706","10101329","6","327-4683-1LT","1.00","EA","2","2021-02-17"
"10101706","10101329","7","327-4684-1LT","1.00","EA","2","2021-02-17"
"10101706","10101329","8","430-5050-1LTSET","12.00","EA","2","2021-02-17"
"10101707","10101349","1","245-0001-1LT","12.00","EA","2","2021-02-17"
"10101707","10101349","2","430-5040-1LTSET","5.00","EA","2","2021-02-17"
"10101708","10101328","1","430-5047-0.8LT","30.00","EA","2","2021-02-17"
"10101708","10101328","2","741-0000-0.2LT","30.00","EA","2","2021-02-17"
"10101709","10101351","1","222-0001-1LT","24.00","EA","2","2021-02-17"
"10101710","10101365","1","799-ABX1-1LT","2.00","EA","2","2021-02-17"
"10101710","10101365","2","799-AYO1-1LT","2.00","EA","2","2021-02-17"
"10101710","10101365","3","799-AWX1-1LT","1.00","EA","2","2021-02-17"
"10101711","10101343","1","222-0020-1LT","6.00","EA","2","2021-02-17"
"10101711","10101343","3","245-0001-1LT","6.00","EA","2","2021-02-17"
"10101712","10101359","1","222-4563-1LT","6.00","EA","2","2021-02-17"
"10101713","10101355","1","222-0001-1LT","6.00","EA","2","2021-02-17"
"10101713","10101355","2","222-0013-1LT","6.00","EA","2","2021-02-17"
"10101714","10101356","1","430-5054-1LTSET","6.00","EA","2","2021-02-17"
"10101714","10101356","3","442-0099-1LT","6.00","EA","2","2021-02-17"
"10101714","10101356","4","534-0620-1LTSET","6.00","EA","2","2021-02-17"
"10101715","10101357","1","245-0001-1LT","6.00","EA","2","2021-02-17"
"10101715","10101357","2","245-2179-1LT","3.00","EA","2","2021-02-17"
"10101715","10101357","3","245-1176-1LT","2.00","EA","2","2021-02-17"
"10101716","10101317","1","083-0001-0.9LT","12.00","EA","2","2021-02-17"
"10101716","10101317","2","281-2290-5KG","4.00","EA","2","2021-02-17"
"10101716","10101317","3","281-B001-5KG","2.00","EA","2","2021-02-17"
"10101716","10101317","4","281-A001-25KG","4.00","EA","2","2021-02-17"
"10101716","10101317","5","281-C001-5KG","2.00","EA","2","2021-02-17"
"10101716","10101317","6","281-A001-5KG","8.00","EA","2","2021-02-17"
"10101716","10101317","7","268-A001-2.5LT","2.00","EA","2","2021-02-17"
"10101716","10101317","8","268-A001-20LT","1.00","EA","2","2021-02-17"
"10101716","10101317","9","268-B001-2.5LT","6.00","EA","2","2021-02-17"
"10101716","10101317","10","083-0020-0.9LT","3.00","EA","2","2021-02-17"
"10101716","10101317","11","083-7102-0.9LT","3.00","EA","2","2021-02-17"
"10101716","10101317","12","105-0001-0.9LTSET","3.00","EA","2","2021-02-17"
"10101716","10101317","13","105-4660-0.9LTSET","3.00","EA","2","2021-02-17"
"10101717","10101318","1","083-0001-0.9LT","30.00","EA","2","2021-02-17"
"10101717","10101318","2","281-2290-5KG","8.00","EA","2","2021-02-17"
"10101717","10101318","3","281-C001-5KG","2.00","EA","2","2021-02-17"
"10101717","10101318","4","292-A001-2.5LT","2.00","EA","2","2021-02-17"
"10101717","10101318","5","292-D001-2.5LT","4.00","EA","2","2021-02-17"
"10101717","10101318","6","268-A001-2.5LT","12.00","EA","2","2021-02-17"
"10101717","10101318","7","292-B001-2.5LT","3.00","EA","2","2021-02-17"
"10101717","10101318","8","591-0001-2.5LT","4.00","EA","2","2021-02-17"
"10101717","10101318","9","268-B001-2.5LT","2.00","EA","2","2021-02-17"
"10101717","10101318","10","083-0020-0.9LT","3.00","EA","2","2021-02-17"
"10101717","10101318","11","267-D001-2.5LT","2.00","EA","2","2021-02-17"
"10101717","10101318","12","083-7102-0.9LT","12.00","EA","2","2021-02-17"
"10101717","10101318","13","105-0020-0.9LTSET","3.00","EA","2","2021-02-17"
"10101717","10101318","14","083-8723-0.9LT","3.00","EA","2","2021-02-17"
"10101717","10101318","15","273-4287-3.785LT","4.00","EA","2","2021-02-17"
"10101718","10101319","1","083-0001-0.9LT","6.00","EA","2","2021-02-17"
"10101718","10101319","2","281-B001-5KG","4.00","EA","2","2021-02-17"
"10101718","10101319","3","281-C001-5KG","2.00","EA","2","2021-02-17"
"10101718","10101319","4","083-0020-0.9LT","6.00","EA","2","2021-02-17"
"10101718","10101319","5","267-D001-2.5LT","4.00","EA","2","2021-02-17"
"10101718","10101319","6","267-B001-2.5LT","2.00","EA","2","2021-02-17"
"10101718","10101319","7","083-8722-0.9LT","3.00","EA","2","2021-02-17"
"10101719","10101321","1","292-A001-20LT","1.00","EA","2","2021-02-17"
"10101719","10101321","2","268-A001-2.5LT","8.00","EA","2","2021-02-17"
"10101719","10101321","3","268-2290-20LT","1.00","EA","2","2021-02-17"
"10101719","10101321","4","268-D001-20LT","1.00","EA","2","2021-02-17"
"10101719","10101321","5","083-8723-0.9LT","3.00","EA","2","2021-02-17"
"10101719","10101321","6","273-4287-3.785LT","2.00","EA","2","2021-02-17"
"10101719","10101321","7","799-AYB1-1LT","1.00","EA","2","2021-02-17"
"10101719","10101321","8","292-D001-20LT","1.00","EA","2","2021-02-17"
"10101719","10101321","9","083-6619-0.9LT","3.00","EA","2","2021-02-17"
"10101720","10101320","1","281-2290-5KG","4.00","EA","2","2021-02-17"
"10101720","10101320","2","281-2290-25KG","2.00","EA","2","2021-02-17"
"10101720","10101320","3","292-B001-2.5LT","4.00","EA","2","2021-02-17"
"10101720","10101320","4","591-0001-2.5LT","6.00","EA","2","2021-02-17"
"10101720","10101320","5","105-0001-0.9LTSET","3.00","EA","2","2021-02-17"
